GameID,RentalDate,ReturnDate,RentedCustomerID
ror2,2019-01-01,2019-01-15,cmlf
ttfl02,2019-01-16,2019-01-30,wqlo
nms01,2019-01-31,2019-02-14,gpcv
prtl02,2019-02-15,2019-03-01,uahl
fifa01,2019-03-02,2019-03-16,yonb
hmff01,2019-03-17,2019-03-31,udpz
ror2,2019-04-01,2019-04-15,ecmc
ttfl02,2019-04-16,2019-04-30,swhr
rktl01,2019-05-01,2019-05-15,qvug
apxl01,2019-05-16,2019-05-30,gcnb
ttfl02,2019-05-31,2019-06-14,wxpd
ttfl02,2019-06-15,2019-06-29,czbe
fifa01,2019-06-30,2019-07-14,vgnk
mcft01,2019-07-15,2019-07-29,fbgh
prtl02,2019-07-30,2019-08-13,bcxi
lgsw02,2019-08-14,2019-08-28,nmjr
apxl01,2019-08-29,2019-09-12,ibxe
rktl01,2019-09-13,2019-09-27,ijtx
tmrd01,2019-09-28,2019-10-12,jref
hmff01,2019-10-13,2019-10-27,mhkp
cod01,2019-10-28,2019-11-11,szzb
ttfl02,2019-11-12,2019-11-26,nfvq
lgsw02,2019-11-27,2019-12-11,rdgt
apxl01,2019-12-12,2019-12-26,ophq
cod01,2019-12-27,2020-01-10,xnjp
fifa01,2020-01-11,2020-01-25,sekc
ttfl02,2020-01-26,2020-02-09,gimw
mcft01,2020-02-10,2020-02-24,mqxk
tmrd01,2020-02-25,2020-03-10,vlkp
hlkt01,2020-03-11,2020-03-25,sdzo
cod01,2020-03-26,2020-04-09,iajl
slts01,2020-04-10,2020-04-24,jrja
apxl01,2020-04-25,2020-05-09,fvnp
hmff01,2020-05-10,2020-05-24,ejbb
mcft01,2020-05-25,2020-06-08,xhzj
cod01,2020-06-09,2020-06-23,cdms
fifa01,2020-06-24,2020-07-08,rzdt
tmrd01,2020-07-09,2020-07-23,gmtr
slts01,2020-07-24,2020-08-07,zbuf
lgsw02,2020-08-08,2020-08-22,zbja
prtl02,2020-08-23,2020-09-06,hbat
ror2,2020-09-07,2020-09-21,xcta
ror2,2020-09-22,2020-10-06,xdbb
rktl01,2020-10-07,2020-10-21,sbyr
apxl01,2020-10-22,2020-11-05,ynah
soth01,2020-11-06,2020-11-20,maeq
mcft01,2020-11-21,2020-12-05,armu
cod01,2020-12-06,2020-12-20,dkhq
soth01,2020-12-21,2021-01-04,fwjy
ror2,2021-01-05,2021-01-19,rjnj
des201,2021-01-20,2021-02-03,mgqv
apxl01,2021-02-04,2021-02-18,bkzp
des201,2021-02-19,2021-03-05,hfjw
hmff01,2021-03-06,2021-03-20,ngfc
hlkt01,2021-03-21,2021-04-04,asts
mcft01,2021-04-05,2021-04-19,pwfn
soth01,2021-04-20,2021-05-04,gwwl
ror2,2021-05-05,2021-05-19,kbyf
hlkt01,2021-05-20,2021-06-03,rstp
apxl01,2021-06-04,2021-06-18,axyj
soth01,2021-06-19,2021-07-03,qyfv
cod01,2021-07-04,2021-07-18,qzgk
slts01,2021-07-19,2021-08-02,litj
yomi01,2021-08-03,2021-08-17,anrg
tmrd01,2021-08-18,2021-09-01,sjym
prtl02,2021-09-02,2021-09-16,huft
hlkt01,2021-09-17,2021-10-01,yyny
mcft01,2021-10-02,2021-10-16,upkv
apxl01,2021-10-17,2021-10-31,sesn
des201,2021-11-01,2021-11-15,weon
amgs01,2021-11-16,2021-11-30,cvzw
soth01,2021-12-01,2021-12-15,wumq
hlkt01,2021-12-16,2021-12-30,rcla
apxl01,2021-12-31,2022-01-14,wlmn
cod01,2022-01-15,2022-01-29,qoyn
amgs01,2022-01-30,2022-02-13,mysl
yomi01,2022-02-14,2022-02-28,abrr
hlkt01,2022-03-01,2022-03-15,kjah
mcft01,2022-03-16,2022-03-30,lykn
fifa01,2022-03-31,2022-04-14,nmog
des201,2022-04-15,,abcd
ror2,2022-04-30,,mnop
amgs01,2022-05-15,2022-05-29,fncr
rktl01,2022-05-30,2022-06-13,hoqg
apxl01,2022-06-14,2022-06-28,yxzd
drg01,2022-06-29,2022-07-13,ndwx
cod01,2022-07-14,2022-07-28,rqvb
amgs01,2022-07-29,2022-08-12,lvif
fifa01,2022-08-13,,abcd
prtl02,2022-08-28,,coai
ttfl02,2022-09-12,2022-09-26,ctdp
cod01,2022-09-27,,mnop
amgs01,2022-10-12,,abcd
apxl01,2022-10-27,,ijkl
ttfl02,2022-11-11,,ijkl
rktl01,2022-11-26,2022-12-10,ahdu
mcft01,2022-12-11,,ijkl
yomi01,2022-12-26,2023-01-09,uokg
drg01,2023-01-10,,abcd
lcmp01,2023-01-25,,ijkl
yomi01,2023-12-10,2023-12-13,abcd
hlkt01,2023-12-11,2023-12-11,coai
